high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_unique_cwes,repo,commit
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,0347b911aaed725e248384a44ec54706c7556541
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,098573705b812b45feb0c830ffa8fb53079af271
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,0ad1bdaf93fa5c177af85f6afe7c4bc945f106c6
5365,146,72,97,414,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,0db6437c4e1ec3d2dfffcdf7d0691336a7c59129
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,0f536ff18badbcb453b7ebf6a2150dea9b143dc4
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,0f860d40f1a36448e33a98fc439f0ff0836c03a9
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,12f109b1be9577f5d7adde0a93021496e2d60624
5361,142,72,98,411,5066,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,1444cf7fdaadf81c76a386245ae1e37cad3e3d6d
5346,142,72,97,410,5053,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,1ceaa1ac7a492f946e67195d2efdb8477a0ff5a9
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,1e7b1dff838a7772b971b06f4ea51bf40b9d0b92
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,1fb5ecf13d6216fbc3f6096463ed124ab543e266
