high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_unique_cwes,repo,commit
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,04e625de9df0cce5264767c0e8524b5dcaaaf02c
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,06f39f4c4708fc8331f931ba088dd3b6c4aa3c51
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,080d276bb71cc68777ae583f3a61e06af72e9f39
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,0eac5602fff874e5298b08f41f394934773ce6f8
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,0ecb892f6f665d5d073114e605bc09bc4ae9bb76
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,129d3e2667e3bad66c1ba1f79374afbf5b7eb0a5
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,13d30e806205c6b7ba110577ebdc16640f9a41aa
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,1b19054c880e1ea75c73dfbeb3fb071c2bf08e1f
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,1d01b082d6b6395310536799cbdd387a0e2aebe7
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,1f2c2afc3caecd9920f57e66d2699c9af9ffe0b4
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,1f5d6768981da6750116313e3bfad1f581bad089
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,287c6ea90faf977dd3fded2cf1042542f1d5238c
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,299151a32d8cda95714ff7ad928fc5e8568f3988
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,2a3cb6a965dd3bbb0079e2fc0074404c60326ff4
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,2b96930d77467650a90c0924e90d27dc22bd26f5
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,2c02de0106515f40da5a1eb1b82ce62aec059c84
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,2c5832f15a4ace5b00c6736e3b4f596d8a899ba7
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,2c8b08954a4d01aa1dea3753982890d83dc076ba
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,3588a19fa628b58c20b537b29f496eb8c39c9617
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,37cd96c0fe95ad3357b9dffe9e612f7e539ece35
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,3b9e5a2e532c64aae98b9fdd6fe8cd84ad3b1bd9
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,3ce44d026a409b1149697547b0a97d79d7916334
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,3e9c651afa8e025b3919c1e10c2718255d0f1638
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,3f40d08abc9be46e50c254124db50b5f9f44fcfb
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,4033d2bc2662f267bcd7d6e5a49f292bd0286643
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,41f3084ca15b08a6bbdbb3b4bf95c4c48862331a
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,4604e47117c6d2c3b4fabb50ff29f482fd6bf31a
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,485083e4bc8947248c3eab3e416f7d0b5917dafd
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,511c57b8548d51924d92dca37e1bc9a191a11e35
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,51abebd85cb2e6716ac7557a9b512822c11613bd
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,527daadb16474338187e8b338a83e72ba3224819
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,53496c0f6766a3e794aff24ef9520391e33235b2
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,55a9a74a5f40502ec61c56bcb4a39f851270d300
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,55ec12967e5fd749457359e4c48185d82c4f32aa
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,56674d571863a8ba95aadee7be66a2fecf4b835c
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,5a5ba83544f263507f362a9a2d0828720d4a07b7
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,5f8af2557246faed33ee5671e1aea5f1bcd7dc1b
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,608aed3d80c18c93daab5015a198ca6f00362621
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,627edaeb4d29ac7df2ff81a3087818bb3c4a48b9
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,628c38d59d6b8b5ad2aa367b028fbbbf403ca9af
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,6615b81c3f573a23d9883215633e78696e8dfa5a
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,6631d69419bb0f8f3cdfca6df8215f4e294edff0
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,690c486fa42bc4db25150adb34ea913ce6a25548
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,6c0d88a14e32a1e3820458728194cc89319aeb68
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,6c9e54b5c9ef96c7697440520d3fb081139413c2
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,75b18a2af1c26427be3626127fd394310e88299d
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,767856a873a852714ed77f93d201ed841e64baf0
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,77186ce2572f82d5569cbd99f0744fe80cc0ecf0
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,7c8c1fb1e07814efd6e2933331f7ee55951bbc50
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,7d5bba233a4ac4fbd387606f654b0e912916c00d
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,7ec703ac7c898ceb17bb695af30cb9c71b26ef1a
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,8040a235d4b23e514d999d5dee7a6a4fc2037e67
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,827ccd7fd59650e445ef21f657443f8531808b1f
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,829a1b9ab1a65de95addee7f609475e6419ccf21
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,83274b80a7b218cf717f9d024e14dd3d89fdd0fb
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,86e6c4e4fd2ce671ee3d00b8f9ddb0e3914613ee
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,8814c8db1a5a98f6d9fdae0b39b105907254ae1c
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,8c7de597e3007ce646a42ac604956d9ce4876b6a
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,8ca227e21a43ad28d978aadff2da75f1bbd90e98
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,8da3793e586f81439cd0ed6fe482977d11c568d6
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,8df476e3b53f862902119273eaa0a8474443969e
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,909d8f5dcb7a3e9edcddb1ae8f67f59baf20809f
